artist,year,title,genre,faces,black_1,black_2,black_3,white_1,white_2,white_3,red_1,red_2,red_3,lime_1,lime_2,lime_3,blue_1,blue_2,blue_3,yellow_1,yellow_2,yellow_3,cyan_1,cyan_2,cyan_3,magenta_1,magenta_2,magenta_3,silver_1,silver_2,silver_3,gray_1,gray_2,gray_3,maroon_1,maroon_2,maroon_3,olive_1,olive_2,olive_3,green_1,green_2,green_3,purple_1,purple_2,purple_3,teal_1,teal_2,teal_3,navy_1,navy_2,navy_3
Adele,1982,Beth B & Scott B's Vortex (The Motion Picture Soundtrack),Electronic,0,0.0458,0.617,0,0,0,0,0.0099,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397,0.0326,0.0004,0.0007,0,0,0.0115,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metric,2009,Fantasies,Rock,0,0.9385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.0025,0.0019,0.0041,0,0,0.0039,0.0026,0.0014,0,0,0,0,0,0,0,0,0,0,0,0
Aniceto Molina,1978,Cumbias Con Mariachi,Latin,1,0.1555,0.055,0.0234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1126,0.1143,0.0251,0.0694,0.0595,0.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knife in the Water,2003,Red River,Rock,0,0.1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0.0438,0.0093,0,0,0,0,0,0,0.0146,0.0096,0,0,0,0,0.0834,0,0,0.064,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0
Toni Braxton,1996,Secrets,Hip Hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3213,0.0643,0.0541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534,0.0234,0.0204,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Valli,1968,Timeless,Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0.0271,0.0626,0.061,0.1399,0,0,0.0474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Thorogood,2003,Ride 'Til I Die,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1947,0.0904,0,0.0781,0.0758,0.0482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lionel Hampton,1957,Hamp's Big Four,Jazz,0,0.0169,0.2472,0,0,0,0,0.2075,0,0,0,0,0,0,0,0,0.0093,0.0066,0,0,0,0,0,0,0,0.005,0.0066,0,0.0551,0,0,0.0277,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Morgan,1987,Double Image,Jazz,0,0.0917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.002,0.0016,0.0199,0.0008,0.0414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonora Matancera,1979,Fiesta,Latin,0,0.2567,0,0,0.0052,0,0,0.0049,0,0,0,0,0,0,0,0,0.0278,0,0,0.0312,0,0,0,0,0,0.0115,0.0023,0,0.0491,0.0722,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
